Data;7465 - Índice de Preços ao Consumidor (IPC-Fipe) - Alimentação - Var. % mensal
01/1997;1,51
02/1997;0,76
03/1997;1,59
04/1997;-0,37
05/1997;-1,37
06/1997;0,93
07/1997;-0,28
08/1997;-1,42
09/1997;-0,02
10/1997;0,68
11/1997;0,79
12/1997;0,81
01/1998;1,01
02/1998;0,32
03/1998;0,79
04/1998;0,36
05/1998;0,73
06/1998;-0,19
07/1998;-1,48
08/1998;-1,37
09/1998;-0,14
10/1998;0,32
11/1998;-0,52
12/1998;-0,37
01/1999;0,79
02/1999;3,07
03/1999;0,78
04/1999;-1,18
05/1999;-1,96
06/1999;-1,20
07/1999;-0,30
08/1999;0,81
09/1999;0,88
10/1999;1,77
11/1999;2,46
12/1999;1,17
01/2000;0,60
02/2000;-1,38
03/2000;-0,41
04/2000;-0,57
05/2000;-0,57
06/2000;-0,22
07/2000;2,51
08/2000;2,37
09/2000;0,00
10/2000;-0,57
11/2000;-1,05
12/2000;-0,78
01/2001;0,43
02/2001;-0,07
03/2001;1,56
04/2001;2,52
05/2001;-0,73
06/2001;-0,17
07/2001;0,79
08/2001;0,31
09/2001;-0,09
10/2001;1,57
11/2001;0,52
12/2001;-0,09
01/2002;0,90
02/2002;0,87
03/2002;-0,27
04/2002;-0,79
05/2002;-0,35
06/2002;0,36
07/2002;1,12
08/2002;1,50
09/2002;1,42
10/2002;2,86
11/2002;6,27
12/2002;3,36
01/2003;1,88
02/2003;1,86
03/2003;1,15
04/2003;0,75
05/2003;0,27
06/2003;-1,35
07/2003;-0,71
08/2003;-0,31
09/2003;0,96
10/2003;0,82
11/2003;-0,21
12/2003;0,51
01/2004;0,54
02/2004;0,12
03/2004;0,10
04/2004;-0,30
05/2004;1,05
06/2004;1,39
07/2004;0,39
08/2004;1,06
09/2004;-0,57
10/2004;0,28
11/2004;-0,23
12/2004;0,47
01/2005;0,06
02/2005;0,15
03/2005;0,29
04/2005;1,55
05/2005;0,68
06/2005;-1,39
07/2005;-0,74
08/2005;-1,21
09/2005;-0,13
10/2005;0,45
11/2005;0,74
12/2005;0,07
01/2006;-0,21
02/2006;-0,22
03/2006;-0,46
04/2006;-0,64
05/2006;-0,89
06/2006;-1,36
07/2006;0,31
08/2006;0,46
09/2006;0,88
10/2006;1,22
11/2006;1,08
12/2006;-0,07
01/2007;1,29
02/2007;0,59
03/2007;0,62
04/2007;-0,13
05/2007;0,58
06/2007;1,90
07/2007;1,06
08/2007;1,46
09/2007;0,68
10/2007;0,24
11/2007;1,75
12/2007;2,02
01/2008;1,04
02/2008;-0,15
03/2008;0,27
04/2008;0,84
05/2008;3,17
06/2008;2,87
07/2008;1,07
08/2008;-0,49
09/2008;-0,32
10/2008;0,37
11/2008;0,60
12/2008;-0,54
01/2009;0,68
02/2009;0,33
03/2009;0,70
04/2009;-0,26
05/2009;0,07
06/2009;0,19
07/2009;0,90
08/2009;0,22
09/2009;-0,63
10/2009;-0,45
11/2009;0,30
12/2009;-0,24
01/2010;1,52
02/2010;1,00
03/2010;1,43
04/2010;1,36
05/2010;0,11
06/2010;-1,05
07/2010;-0,40
08/2010;-0,15
09/2010;1,57
10/2010;2,84
11/2010;2,02
12/2010;1,38
01/2011;0,73
02/2011;-0,17
03/2011;0,09
04/2011;0,46
05/2011;0,19
06/2011;-0,58
07/2011;0,21
08/2011;0,92
09/2011;0,37
10/2011;0,53
11/2011;0,74
12/2011;1,44
01/2012;0,50
02/2012;-0,98
03/2012;0,47
04/2012;0,45
05/2012;0,74
06/2012;1,03
07/2012;0,53
08/2012;1,08
09/2012;1,74
10/2012;2,04
11/2012;0,89
12/2012;1,40
01/2013;2,11
02/2013;0,34
03/2013;0,77
04/2013;0,20
05/2013;-0,28
06/2013;-0,05
07/2013;-0,40
08/2013;-0,02
09/2013;-0,01
10/2013;1,20
11/2013;0,80
12/2013;0,65
01/2014;0,70
02/2014;0,51
03/2014;2,00
04/2014;1,23
05/2014;0,73
06/2014;-0,37
07/2014;-0,58
08/2014;-0,43
09/2014;0,72
10/2014;0,85
11/2014;1,55
12/2014;0,47
01/2015;1,57
02/2015;1,00
03/2015;0,72
04/2015;0,83
05/2015;0,88
06/2015;0,58
07/2015;0,77
08/2015;-0,52
09/2015;-0,04
10/2015;1,31
11/2015;2,26
12/2015;1,55
01/2016;2,36
02/2016;1,02
03/2016;1,87
04/2016;0,73
05/2016;0,68
06/2016;1,17
07/2016;0,78
08/2016;0,74
09/2016;-1,09
10/2016;-0,27
11/2016;-0,92
12/2016;0,27
01/2017;0,16
02/2017;-0,69
03/2017;0,34
04/2017;1,12
05/2017;-0,21
06/2017;-0,83
07/2017;-0,26
08/2017;-1,33
09/2017;-0,81
10/2017;0,89
11/2017;-0,68
12/2017;0,31
01/2018;1,15
02/2018;-0,95
03/2018;0,04
04/2018;-0,10
05/2018;0,62
06/2018;3,14
07/2018;-0,58
08/2018;-0,49
09/2018;0,08
10/2018;1,21
11/2018;0,08
12/2018;0,84
01/2019;1,13
02/2019;1,64
03/2019;1,75
04/2019;0,23
05/2019;-1,05
06/2019;-0,51
07/2019;-0,11
08/2019;0,17
09/2019;-0,99
10/2019;-0,09
11/2019;1,62
12/2019;2,96
01/2020;0,60
02/2020;0,04
03/2020;0,93
04/2020;1,26
05/2020;0,66
06/2020;0,69
07/2020;0,63
08/2020;1,27
09/2020;2,15
10/2020;2,51
11/2020;2,24
12/2020;2,08
01/2021;1,50
02/2021;-0,31
03/2021;0,27
04/2021;0,83
05/2021;0,04
06/2021;0,09
07/2021;1,52
08/2021;2,29
09/2021;1,38
10/2021;0,90
11/2021;-0,15
12/2021;1,23
01/2022;1,19
02/2022;2,26
03/2022;2,43
04/2022;3,38
05/2022;1,15
06/2022;0,93
07/2022;0,95
08/2022;-0,58
09/2022;-0,22
10/2022;0,87
11/2022;0,47
12/2022;1,07
01/2023;0,36
02/2023;0,36
03/2023;0,59
04/2023;0,86
05/2023;-0,01
06/2023;-0,80
07/2023;-1,10
08/2023;-1,03
09/2023;-0,78
10/2023;0,73
